,doi,url,full_doc_link,is_open_access,label_level_1,label_level_2,label_level_3,journal,literature_site,unnamed: 11,label,text
10,10.1098/rsif.2014.0541,https://royalsocietypublishing.org/doi/full/10.1098/rsif.2014.0541,https://royalsocietypublishing.org/doi/pdf/10.1098/rsif.2014.0541,True,['Move'],['Active movement'],['Actively move through gases'],"['Nature', 'Proceedings of the Royal Society B', 'Journal of the Royal Society Interface']",royalsocietypublishing.org,,-1,"Three-dimensional flow and lift characteristics of a hovering ruby-throated hummingbird A three-dimensional computational fluid dynamics simulation is performed for a ruby-throated hummingbird (Archilochus colubris) in hovering flight. Realistic wing kinematics are adopted in the numerical model by reconstructing the wing motion from high-speed imaging data of the bird. Lift history and the three-dimensional flow pattern around the wing in full stroke cycles are captured in the simulation. Significant asymmetry is observed for lift production within a stroke cycle. In particular, the downstroke generates about 2.5 times as much vertical force as the upstroke, a result that confirms the estimate based on the measurement of the circulation in a previous experimental study. Associated with lift production is the similar power imbalance between the two half strokes. Further analysis shows that in addition to the angle of attack, wing velocity and surface area, drag-based force and wing–wake interaction also contribute significantly to the lift asymmetry. Though the wing–wake interaction could be beneficial for lift enhancement, the isolated stroke simulation shows that this benefit is buried by other opposing effects, e.g. presence of downwash. The leading-edge vortex is stable during the downstroke but may shed during the upstroke. Finally, the full-body simulation result shows that the effects of wing–wing interaction and wing–body interaction are small."
11,10.1098/rspb.1999.0668,https://royalsocietypublishing.org/doi/10.1098/rspb.1999.0668,https://royalsocietypublishing.org/doi/10.1098/rspb.1999.0668,True,['Attach'],['Attach temporarily'],,"['Proceedings of the Royal Society B', 'Journal of Morphology']",royalsocietypublishing.org,,-1,"Evolution of the dragonfly head-arresting system The arrester or fixation system of the head in adult Odonata is unique among arthropods. This system involves the organs of two body segments: the head and the neck. It consists of a skeleton–muscle apparatus that sets the arrester parts in motion. The parts comprise formations covered with complicated microstructures: fields of microtrichia on the rear surface of the head and post–cervical sclerites of the neck. The arrester immobilizes the head during feeding or when the dragonfly is in tandem flight. Thus, it may serve as an adaptation to save the head from violent mechanical disturbance and to stabilize gaze in a variety of behavioural situations. This study shows the evolutionary trend of the arrester in the order Odonata by using scanning electron microscopy and measurements of arrester structures in 227 species from 26 odonate families. The arrester design occurring in the Epiophlebiidae, Gomphidae, Neopetaliidae, Petaluridae and Chlorogomphinae is suggested to be the basic one. Two convergent pathways of head–arrester evolution among Zygoptera and Anisoptera are proposed. The possible functional significance of the arrester system is discussed."
12,10.1242/jeb.043661,https://jeb.biologists.org/content/213/20/3457,https://journals.biologists.com/jeb/article-pdf/213/20/3457/1271194/3457.pdf,True,['Protect from harm'],['Protect from non-living threats'],['Protect from solids'],['Journal of Experimental Biology (JEB)'],jeb.biologists.org,,-1,"Always on the bright side of life: anti-adhesive properties of insect ommatidia grating SUMMARY The surface of some insect eyes consists of arrays of cuticular protuberances, which are 50–300 nm in diameter, and are termed corneal nipples or ommatidia gratings. They were widely reported to reduce the reflectance for normally incident light, contributing to camouflage by reducing glare to predators, while furthermore enhancing the intake of light, which is especially important for nocturnal insects. Our preliminary observations suggest a third function: in contrast to the rest of the body, ommatidia of various insects remain clean, even in a heavy contaminated environment. In order to prove such an anti-contamination hypothesis of these structures, we measured the adhesive properties of polymer moulds of insect ommatidia, and compared these data with control surfaces having the same curvature radii but lacking such a nanostructure. A scanning electron microscope (SEM) study and force measurements using an atomic force microscope (AFM) on the eye surfaces of three different insect species, dragonfly Aeshna mixta (Odonata), moth Laothoe populi (Lepidoptera) and fly Volucella pellucens (Diptera), were undertaken. We revealed that adhesion is greatly reduced by corneal grating in L. populi and V. pellucens when compared with their smooth controls. The smooth cornea of A. mixta showed no statistically significant difference to its control. We assume that this anti-adhesive phenomenon is due to a decrease in the real contact area between contaminating particles and the eye's surface. Such a combination of three functions in one nanostructure can be interesting for the development of industrial multifunctional surfaces capable of enhancing light harvesting while reducing light reflection and adhesion."
13,10.1242/jeb.01831,https://jeb.biologists.org/content/208/19/3655,https://journals.biologists.com/jeb/article-pdf/208/19/3655/1544902/3655.pdf,True,"['Protect from harm', 'Chemically modify or Change energy state']","['Protect from living threats', 'Change energy state']","['Protect from animals', 'Modify/convert mechanical energy']","['Journal of Experimental Biology (JEB)', 'Science']",jeb.biologists.org,,-1,"Extreme impact and cavitation forces of a biological hammer: strike forces of the peacock mantis shrimp Odontodactylus scyllarus SUMMARY Mantis shrimp are renowned for their unusual method of breaking shells with brief, powerful strikes of their raptorial appendages. Due to the extreme speeds of these strikes underwater, cavitation occurs between their appendages and hard-shelled prey. Here we examine the magnitude and relative contribution of the impact and cavitation forces generated by the peacock mantis shrimp Odontodactylus scyllarus. We present the surprising finding that each strike generates two brief, high-amplitude force peaks, typically 390–480 μs apart. Based on high-speed imaging, force measurements and acoustic analyses, it is evident that the first force peak is caused by the limb's impact and the second force peak is due to the collapse of cavitation bubbles. Peak limb impact forces range from 400 to 1501 N and peak cavitation forces reach 504 N. Despite their small size, O. scyllarus can generate impact forces thousands of times their body weight. Furthermore, on average, cavitation peak forces are 50% of the limb's impact force, although cavitation forces may exceed the limb impact forces by up to 280%. The rapid succession of high peak forces used by mantis shrimp suggests that mantis shrimp use a potent combination of cavitation forces and extraordinarily high impact forces to fracture shells. The stomatopod's hammer is fundamentally different from typical shell-crushing mechanisms such as fish jaws and lobster claws, and may have played an important and as yet unexamined role in the evolution of shell form."
14,10.1016/j.neucom.2006.11.013,https://www.sciencedirect.com/science/article/abs/pii/S0925231206004668,https://www.sciencedirect.com/science/article/pii/S0925231206004668/pdfft,True,"['Move', 'Sense send or process information']",['Sense signals/environmental cues'],"['Move through/on liquids', 'Sense touch and mechanical forces']",['Neurocomputing'],www.sciencedirect.com,,-1,"Super-lampreys and wave energy: Optimised control of artificially-evolved, simulated swimming lamprey Propulsion in the lamprey, an eel-like fish, is governed by activity in its spinal neural network (called a central pattern generator (CPG)). This CPG is simulated, in accordance with Ekeberg's original model, and optimised alternatives are generated with genetic algorithms (GAs). A two-phase GA is adopted: (1) to evolve neuron-descriptive parameters and synaptic weights of the neural oscillator for a single lamprey segment, (2) to generate interconnections between segments. Results demonstrate that Ekeberg's prototype is not a unique solution and that simpler versions with wider operational ranges can be generated. Evolved solutions outperform the swimming capabilities of a modelled biological organism, as an initial step in understanding how to control wave power devices, with similar motion to the lamprey."
15,10.1371/journal.pone.0051803,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0051803,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0051803&type=printable,True,"['Process resources', 'Change size or color', 'Protect from harm']","['Expel resources', 'Change size/shape', 'Protect from living threats']","['Expel solids', 'Protect from animals']","['PLOS One', 'Physiological and Biochemical Zoology']",journals.plos.org,,-1,"Unique Structural Features Facilitate Lizard Tail Autotomy Autotomy refers to the voluntary shedding of a body part; a renowned example is tail loss among lizards as a response to attempted predation. Although many aspects of lizard tail autotomy have been studied, the detailed morphology and mechanism remains unclear. In the present study, we showed that tail shedding by the Tokay gecko (Gekko gecko) and the associated extracellular matrix (ECM) rupture were independent of proteolysis. Instead, lizard caudal autotomy relied on biological adhesion facilitated by surface microstructures. Results based on bio-imaging techniques demonstrated that the tail of Gekko gecko was pre-severed at distinct sites and that its structural integrity depended on the adhesion between these segments."
16,10.1242/jeb.056275,https://jeb.biologists.org/content/214/12/2047,https://journals.biologists.com/jeb/article-pdf/214/12/2047/1273495/2047.pdf,True,['Physically assemble/disassemble'],['Physically assemble structure'],,"['Journal of Experimental Biology (JEB)', 'International Review of Cell and Molecular Biology']",jeb.biologists.org,,-1,"Circumferential spicule growth by pericellular silica deposition in the hexactinellid sponge Monorhaphis chuni SUMMARY The giant basal spicule of the hexactinellid sponge Monorhaphis chuni represents the longest natural siliceous structure on Earth. This spicule is composed of concentrically arranged lamellae that are approximately 10 μm thick. In the present study, we investigated the formation of outer lamellae on a cellular level using microscopic and spectroscopic techniques. It is shown that the formation of an outermost lamella begins with the association of cell clusters with the surface of the thickening and/or growing spicule. The cells release silica for controlled formation of a lamella. The pericellular (silica) material fuses to a delimited and textured layer of silica with depressions approximately 20–30 μm in diameter. The newly formed layer initially displays 40 μm wide, well-structured banded ribbons and only attains its plain surface in a final step. The chemical composition in the depressions was studied using energy dispersive X-ray spectroscopy and by staining with Texas Red. The data suggest that those depressions are the nests for the silica-forming cells and that silica formation starts with a direct association of silica-forming cells with the outer surface of the spicule, where they remain and initiate the development of the next lamellae."
17,10.1098/rspb.2010.0214,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.0214,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.0214,True,['Maintain ecological community'],['Individual benefit'],"['Compete within/between species', 'Regulate reproduction or growth']",['Proceedings of the Royal Society B'],royalsocietypublishing.org,,-1,"Plant green-island phenotype induced by leaf-miners is mediated by bacterial symbionts The life cycles of many organisms are constrained by the seasonality of resources. This is particularly true for leaf-mining herbivorous insects that use deciduous leaves to fuel growth and reproduction even beyond leaf fall. Our results suggest that an intimate association with bacterial endosymbionts might be their way of coping with nutritional constraints to ensure successful development in an otherwise senescent environment. We show that the phytophagous leaf-mining moth Phyllonorycter blancardella (Lepidoptera) relies on bacterial endosymbionts, most likely Wolbachia, to manipulate the physiology of its host plant resulting in the ‘green-island’ phenotype—photosynthetically active green patches in otherwise senescent leaves—and to increase its fitness. Curing leaf-miners of their symbiotic partner resulted in the absence of green-island formation on leaves, increased compensatory larval feeding and higher insect mortality. Our results suggest that bacteria impact green-island induction through manipulation of cytokinin levels. This is the first time, to our knowledge, that insect bacterial endosymbionts have been associated with plant physiology."
18,10.1016/j.msec.2004.12.002,https://www.sciencedirect.com/science/article/abs/pii/S092849310500007X,https://www.sciencedirect.com/science/article/pii/S092849310500007X/pdfft,True,['Process resources'],['Distribute resources'],['Distribute liquids'],['Materials Science and Engineering'],www.sciencedirect.com,,-1,"A branched material based on biomimetic design: Synthesis and electrochemical properties Based on the biomimetic route the metal material with tree-like fractal structure was prepared, which showed a rough surface observed by scanning electron microscopy. According to the electrochemical experiments, the formed material exhibited the strong catalytic capability as an electrode in hydrogen evolution reaction, comparing with other conventional structure materials under comparable scales. We suggested this promotion of property arose from the contribution of the great surface area and the excellent connectivity offered from the fractal structure. (c) 2005 Elsevier B.V. All rights reserved."
19,10.1242/jeb.019273,https://jeb.biologists.org/content/211/16/2647,https://journals.biologists.com/jeb/article-pdf/211/16/2647/1400957/2647.pdf,True,['Attach'],"['Attach permanently', 'Attach temporarily']",,"['Planta', 'Journal of Experimental Biology (JEB)']",jeb.biologists.org,,-1,"An insect trap as habitat: cohesion-failure mechanism prevents adhesion of Pameridea roridulae bugs to the sticky surface of the plant Roridula gorgonias SUMMARY The glandular trichomes of the plant Roridula gorgonias release an extremely adhesive, visco-elastic, resinous secretion that traps a variety of insects, including those having a considerable body size. However, the specialized mutualistic mirid bug Pameridea roridulae lives and walks on this sticky plant surface without being trapped. We have sought to reveal the mechanism underlying the apparent non-sticky nature of the cuticle of this bug. In this study, we have visualized intact plant and insect surfaces using cryo-scanning electron microscopy and measured the adhesive properties of the plant secretion on different surfaces. We present a combination of structural and experimental results that suggest that a thick and cohesively weak film of an outermost, epicuticular greasy secretion acts as a `sloughing-off' layer, preventing the formation of contacts between the sticky plant secretion and the solid insect cuticle. In a comparative study of fresh cuticle fractures of flies representing a typical prey of R. gorgonias, a thin, fragmentary layer of epicuticular grease was revealed. These results indicate that, when trapping prey, the plant adhesive might form proper contact with solid islands of the insect cuticle that are free of epicuticular grease."
20,10.1242/jeb.029975,https://jeb.biologists.org/content/212/17/2835,https://journals.biologists.com/jeb/article-pdf/212/17/2835/1417316/2835.pdf,True,['Process resources'],['Distribute resources'],['Distribute solids'],"['Journal of Experimental Biology (JEB)', 'Physical Review Letters', 'Mycologia']",jeb.biologists.org,,-1,"Surface tension propulsion of fungal spores SUMMARY Most basidiomycete fungi actively eject their spores. The process begins with the condensation of a water droplet at the base of the spore. The fusion of the droplet onto the spore creates a momentum that propels the spore forward. The use of surface tension for spore ejection offers a new paradigm to perform work at small length scales. However, this mechanism of force generation remains poorly understood. To elucidate how fungal spores make effective use of surface tension, we performed a detailed mechanical analysis of the three stages of spore ejection: the transfer of energy from the drop to the spore, the work of fracture required to release the spore from its supporting structure and the kinetic energy of the spore after ejection. High-speed video imaging of spore ejection in Auricularia auricula and Sporobolomyces yeasts revealed that drop coalescence takes place over a short distance (∼5 μm) and energy transfer is completed in less than 4 μs. Based on these observations, we developed an explicit relation for the conversion of surface energy into kinetic energy during the coalescence process. The relation was validated with a simple artificial system and shown to predict the initial spore velocity accurately (predicted velocity: 1.2 m s–1; observed velocity: 0.8 m s–1 for A. auricula). Using calibrated microcantilevers, we also demonstrate that the work required to detach the spore from the supporting sterigma represents only a small fraction of the total energy available for spore ejection. Finally, our observations of this unique discharge mechanism reveal a surprising similarity with the mechanics of jumping in animals."
21,10.1073/pnas.0409574102,https://www.pnas.org/content/102/7/2555.full,https://www.pnas.org/content/102/7/2555.full.pdf,True,"['Maintain ecological community', 'Chemically modify or Change energy state']","['Individual benefit', 'Change energy state']","['Regulate reproduction or growth', 'Modify/convert chemical energy']","['PNAS', 'Nature']",www.pnas.org,,-1,"Hydrogen and bioenergetics in the Yellowstone geothermal ecosystem. The geochemical energy budgets for high-temperature microbial ecosystems such as occur at Yellowstone National Park have been unclear. To address the relative contributions of different geochemistries to the energy demands of these ecosystems, we draw together three lines of inference. We studied the phylogenetic compositions of high-temperature (>70 degrees C) communities in Yellowstone hot springs with distinct chemistries, conducted parallel chemical analyses, and carried out thermodynamic modeling. Results of extensive molecular analyses, taken with previous results, show that most microbial biomass in these systems, as reflected by rRNA gene abundance, is comprised of organisms of the kinds that derive energy for primary productivity from the oxidation of molecular hydrogen, H2. The apparent dominance by H2-metabolizing organisms indicates that H2 is the main source of energy for primary production in the Yellowstone high-temperature ecosystem. Hydrogen concentrations in the hot springs were measured and found to range up to >300 nM, consistent with this hypothesis. Thermodynamic modeling with environmental concentrations of potential energy sources also is consistent with the proposed microaerophilic, hydrogen-based energy economy for this geothermal ecosystem, even in the presence of high concentrations of sulfide."
22,10.1073/pnas.0900086106,https://www.pnas.org/content/106/52/22169,https://www.pnas.org/content/106/52/22169.full.pdf,True,['Chemically modify or Change energy state'],['Change energy state'],['Modify/convert electrical energy'],"['Bioinformatics', 'PNAS']",www.pnas.org,,-1,"Characterization of an electron conduit between bacteria and the extracellular environment A number of species of Gram-negative bacteria can use insoluble minerals of Fe(III) and Mn(IV) as extracellular respiratory electron acceptors. In some species of Shewanella, deca-heme electron transfer proteins lie at the extracellular face of the outer membrane (OM), where they can interact with insoluble substrates. To reduce extracellular substrates, these redox proteins must be charged by the inner membrane/periplasmic electron transfer system. Here, we present a spectro-potentiometric characterization of a trans-OM icosa-heme complex, MtrCAB, and demonstrate its capacity to move electrons across a lipid bilayer after incorporation into proteoliposomes. We also show that a stable MtrAB subcomplex can assemble in the absence of MtrC; an MtrBC subcomplex is not assembled in the absence of MtrA; and MtrA is only associated to the membrane in cells when MtrB is present. We propose a model for the modular organization of the MtrCAB complex in which MtrC is an extracellular element that mediates electron transfer to extracellular substrates and MtrB is a trans-OM spanning β-barrel protein that serves as a sheath, within which MtrA and MtrC exchange electrons. We have identified the MtrAB module in a range of bacterial phyla, suggesting that it is widely used in electron exchange with the extracellular environment."
