attach_permanently_rules,attach_temporarily_rules,,manage_drag_turbulence_rules,protect_from_temperature_rules,capture_solids_rules,actively_move_gases_rules,change_structural_color_rules,store_energy_rules,,actively_move_solids_rules
cement complex,hairy adhesive pads,,clap and fling,thermoneutral,,,enhance coloration,,,running vertebrates
barnacle cement,locomotion activity,,clap-and-fling,freeze tolerant,,,enhance colouration,,,hopping speed
cement polymerization,maintain attachment,,force and thrust,freeze tolerance,,,polarized light,,,level hopping
animal glues,suction pad attachment,,drag reduction,freezing tolerance,,,,,,incline hopping
irreversible gelation,adhesive toe pads,,form drag,heat exchange,,,,,,incline locomotion
extremely adhesive,wet adhesion,,vortex ring,body temperature increase,,,,,,terrestrial lateral undulation
adhesive recruitment,capillary and viscous forces,,vortex wake,low temperature,,,,,,concertina locomotion
capture threads,tree frog toe pad,,wake flow,effects of temperature,,,,,,climbing plants
adhesion generated,adhesive locomotion,,wake vortical pattern,,,,,,,penetrate tissue
recruits the adhesion of,non-adhesive trail mucus,,drag coefficient,,,,,,,jumping performance
measure the stickiness,non-adhesive,,thrust generation,,,,,,,jump performance
glycoprotein glue,adhesive foot,,drag–thrust equilibrium,,,,,,,short range jump
summing the adhesion,adhere to smooth surface,,,,,,,,,ground reaction force
resinous secretion,grasping mechanism,,,,,,,,,sliding in forward direction
secure attachment,grip and detachment,,,,,,,,,legless locomotion
biomechanics of attachment,grasping forces,,,,,,,,,slithering locomotion
attaching to supports,angles of detachment,,,,,,,,,slithering of snakes on flat surfaces
attachment mechanisms,multiple adhering,,,,,,,,,limbless locomotion
oyster cement,sucker-footed,,,,,,,,,walk on solid substrates under water
mussel and barnacle adhesives,adhesive locomotion,,,,,,,,,vertical jumps
barnacle adhesive,tissue adhesion,,,,,,,,,jumping capacity
mussel adhesive,adhesive setae,,,,,,,,,vertebrate locomotion
,,,,,,,,,,power jumping
,,,,,,,,,,during jumping
